X,usrindex,grp1.var1,grp1.var2,grp1.var3,grp2.var1,grp2.var2,grp2.var3,grp2.var4,grp3.var1,grp3.var2,grp3.var3,grp3.var4,grp3.var5,grp3.var6,grp4.var1,grp4.var2,grp4.var3,grp5.var1,grp5.var2,grp5.var3,grp5.var4,grp6.var1,grp6.var2,grp6.var3,grp7.var1,grp7.var2,grp7.var3,grp7.var4,grp8.var1,grp8.var2,grp8.var3,grp8.var4,grp8.var5,grp8.var6,grp8.var7,grp9.var1,grp9.var2,grp9.var3,grp9.var4,grp9.var5,grp9.var6
7/1/83,0,0.298041045,0.959128065,5,-0.02507716,2.351,-0.420560748,3,0.6738,1.8047,0.025684932,92.66666667,3.31,8,0.797756516,0.156626506,640.3333333,1.383858268,60.55,-0.058213716,8,124.89,3.4,10.8,0.118788713,8,51.53774863,0.940008875,-0.160277022,-0.290350877,1,8,419.7,0.002270931,50,6,0.918201686,-0.668032787,0.177,-0.165803109,2.0855
8/1/83,0,0.272014753,0.959128065,5,-0.006944444,2.0215,-0.417525773,4,1.3724,0.348,0.027444254,96,3.31,8,0.82983683,0.194331984,609.6666667,1.381338742,63.35,0.327067669,8,127.0025,3.4,10.5,0.110360665,7,53.10554908,0.936271163,-0.143912379,-0.307783956,1.077255871,8,420.1,0.006861395,50,6,1,-0.508928571,0.191,0.04910333,2.3555
9/1/83,0,0.211691763,0.959128065,5,0.007384376,1.98925,-0.372340426,5,2.0039,2.7053,0.034129693,98.66666667,7.67,8,0.690248566,0.210526316,595.3333333,1.37654321,62.8,0.673160173,8,128.1425,5.8,9.3,0.085708682,7,1.794424485,0.958458493,-0.127966976,-0.380628074,1.011742892,8,422.5,0.013988936,50,6,0.953936348,-0.376436782,0.2185,0.194752775,2.4125
10/1/83,0,0.104703476,0.957127546,4,0.021868787,1.80725,-0.320224719,4,1.014,1.423,0.037414966,99.33333333,7.67,8,0.608253773,0.219512195,604,1.333973129,63.45,0.863636364,8,129.0075,5.8,8.4,-0.005291327,7,0.790318044,0.985066221,-0.172634271,-0.377483444,1,8,404.3,0.020354978,50,5,0.981323283,-0.074742268,0.288,0.34169708,2.6545
11/1/83,0,0.026975684,0.957127546,4,0.039611964,1.906,-0.263803681,5,1.0522,1.1943,0.037225042,100,7.67,8,0.452427729,0.24291498,628,1.258181818,65.2,0.70966811,8,129.5575,5.8,6.8,0.024693639,6,0.541475647,1,-0.179487179,-0.339503576,1,8,392.3,0.029092599,50,6,0.970603015,-0.350140056,0.2955,0.035329599,2.672
12/1/83,0,0,0.957127546,4,0.046698873,1.96825,-0.282208589,6,1.4679,1.4625,0.03697479,99.33333333,7,8,0.34346035,0.18972332,683,1.255033557,67.95,0.416207185,8,129.795,7.8,6,-0.018916186,5,0.31442609,0.973772441,-0.164428611,-0.286196911,1,7,377.45,0.034369394,48,7,0.988358459,0.401041667,0.2505,0.317162233,2.464
1/1/84,0,0.025512037,0.957127546,4,0.028492283,1.93025,0.169354839,6,1.4903,1.981,0.03672788,98.66666667,7,7,0.269894535,0.166023166,702.6666667,1.208728653,65.2,0.403508772,8,131.585,7.8,5.8,0.005228839,5,-0.107976599,0.91613127,-0.150810015,-0.287671233,1,6.5,360.35,0.038365004,49,6,0.975041876,1.080246914,0.303,0.079414374,2.479
2/1/84,0,0.057267126,0.957127546,4,0.002331002,1.87825,0.336283186,5,0.8238,1.2506,0.043405676,98,7,6,0.266726944,0.153256705,720,1.231499051,60.9,0.345992432,8,131.5475,7.8,4.3,-0.044647202,4,-1.257459118,0.844154128,-0.178518298,-0.305882353,1,6.5,345.7,0.042650367,50,5,1,0.095454545,0.289,0.055352055,2.513
3/1/84,0,0.091008772,0.957127546,5,0.011188272,1.75275,0.203389831,5,0.6151,0.7706,0.034653465,96.66666667,5.07,5,0.248188008,0.22519084,676,1.155597723,60.1,0.631372549,7,130.9425,8.5,3.5,-0.041488529,3,-1.451363525,0.842634647,-0.18964497,-0.28058303,1.018422992,6.5,343,0.045898704,48,5,1,0.276497696,0.259,0.025760135,2.511
4/1/84,0,0.090336912,0.951485149,5,0.047470817,1.6435,0.239669421,5,0.7539,0.9594,0.032786885,93.33333333,5.07,4,0.200936569,0.233962264,658.6666667,1.17037037,59.95,0.675816993,6,131.155,8.5,3.9,-0.021400183,4,-1.452211104,0.820701273,-0.116228748,-0.257415787,1.088430361,5.5,357.45,0.048624773,48,5,1,-0.253481894,0.2725,-0.070044203,2.582
5/1/84,0,0.092119867,0.951485149,5,0.07970451,1.3755,0.216666667,5,0.7225,0.9331,0.032626427,91.33333333,5.07,3,0.098898858,0.223443223,631.6666667,1.094269871,59.8,0.734640523,5,130.7,8.5,3.1,-0.095252404,3,-1.450753241,0.771433762,-0.078914141,-0.230235043,1.061901253,5,363.55,0.049317603,49,5,1,-0.547413793,0.1865,0.542238868,3.2205
6/1/84,0,0.054989075,0.945544554,5,0.099230769,1.2945,0.282051282,6,0.5419,0.9384,0.030794165,90.66666667,8.27,2,0.052015355,0.20212766,628,1.074600355,58.35,0.445751634,4,132.7025,8,3,-0.071242345,2,-0.394999032,0.78316019,-0.051164316,-0.182892515,1.070007369,4,360.3,0.049585364,48,6,1,-0.535315985,0.115,0.406732673,3.629
7/1/84,0,0.0168185,0.945544554,5,0.1050404,1.4855,0.179310345,6,0.1169,0.2852,0.025764895,91.33333333,8.27,1,-0.026426867,0.180555556,621.3333333,0.935986159,57.1,0.517647059,4,135.97,8,2.3,-0.078024601,2,-0.471092725,0.782169224,0.00381547,-0.108776267,1.062638172,3,361.6,0.049114233,49,5,0.929763711,-0.729970326,0.108,-0.158240855,2.8
8/1/84,0,-0.00171409,0.945544554,5,0.089147287,1.57225,0.165562914,5,0.0413,0.0533,0.0224,92,8.27,0,-0.074067334,0.166101695,605.3333333,1.099796334,54.55,0.397821351,4,137.8925,8,1.7,0.061250478,3,-0.155291048,0.859679257,0.087649402,-0.104417671,1.150331614,3,375.2,0.050670007,49,4,0.922826794,-0.958506224,0.0505,-0.334361743,1.887
9/1/84,0,-0.006365159,0.945544554,5,0.043113316,1.818,0.190140845,5,-0.0805,0.086,0.022328549,88.66666667,6.89,0,-0.097096531,0.143812709,616,1.008547009,51.5,0.447096713,3,141.3575,7,1.6,0.043472798,3,-3.41913252,0.85488959,0.151150055,-0.02748931,1.173176124,2.5,394.05,0.049117243,47,4,0.898258545,-1.075812274,-0.0055,-0.249073693,1.775
10/1/84,0,0.006112054,0.945544554,4,-0.001114413,2.065,-0.126666667,5,0.1266,0.2631,0.019047619,86,6.89,0,-0.105515128,0.15,638.6666667,1.160087719,50.4,0.349948763,2,143.89,7,0.8,0.037738207,4,-3.43023282,0.874758452,0.143406786,0.049436796,1.235814296,2,408.65,0.048043767,44,5,0.848399451,-0.22761194,0.093,-0.123948812,2.11
11/1/84,0,-0.007791328,0.945544554,3,-0.056175729,1.98225,-0.184931507,4,0.2217,0.7005,0.018957346,81.33333333,6.89,0,-0.074975845,0.140065147,648.6666667,1.13785558,50.55,0.509881423,3,145.87,7,1.4,0.086549319,5,-3.376083714,0.885785037,0.125085675,0.022929936,1.183492999,1,410.3,0.044848454,46,5,0.833008165,1.723809524,0.2465,-0.237992445,2.61
12/1/84,0,-0.016568864,0.91980198,3,-0.103568929,1.989,-0.153333333,3,-0.1215,0.1497,0.01572327,80,22.88,0,-0.0622844,0.172757475,627,1.11627907,50.45,0.466403162,4,148.655,5.6,1.9,0.09178744,4,-3.770481673,1,0.082958866,0.032454361,1.125276345,1.5,391.5,0.04390166,43,5,0.831996532,2.504,0.362,-0.041385135,3.1145
1/1/85,0,-0.019297037,0.91980198,3,-0.116295265,2.031,-0.30994152,2,-0.1669,-0.1748,0.015698587,78.66666667,22.88,0,-0.043601359,0.175496689,613,1.128540305,50.45,0.32740448,5,149.9475,5.6,2.6,0.192287269,5,-0.747184584,1,0.04008293,0.056267806,1.092851879,1,378.3,0.042229858,42,5,0.807356023,3.153846154,0.408,0.369628906,3.105
2/1/85,0,-0.029532967,0.91980198,3,-0.099644128,1.816,-0.375,1,0.1674,-0.0221,0.014084507,77.33333333,22.88,0,-0.092255532,0.189368771,641.3333333,1.15625,50.1,0.221343874,5,153.4525,5.6,3.3,0.086993041,6,-0.94857405,1,0.015651016,0.154753132,1.133863965,1,381.8,0.039283736,39,4,0.859238384,33,0.359,0.942062572,3.0785
3/1/85,0,-0.044504383,0.91980198,2,-0.056693489,1.83875,-0.331360947,1,0.0394,0.5485,0.014040562,76.66666667,5.75,0,-0.086749956,0.109034268,666,1.115909091,48.85,0.127374729,4,153.445,4.6,2.9,0.087658037,7,-1.164816627,0.955783068,-0.017760863,0.107091172,1.061762665,2,385.65,0.037445928,45,5,0.841607053,-15.9047619,0.3265,0.752192982,3.274
4/1/85,0,-0.048261897,0.91980198,2,-0.032354035,1.8985,-0.022900763,2,-0.0822,-0.4119,0.014018692,76.66666667,5.75,0,-0.079227224,0.091743119,657.6666667,1.171232877,48,0.096070381,4,153.0025,4.6,2.9,0.082726233,6,-1.710315755,0.909283971,-0.044661976,0.078537576,1.105482304,3,390.4,0.035680785,46,6,0.822675049,1.439613527,0.409,0.363522538,3.2315
5/1/85,0,-0.043700922,0.909811695,1,-0.03243037,2.09825,0.201680672,2,-0.1182,0.4873,0.012403101,78,5.75,0,-0.027092225,0.071856287,656.3333333,1.225247525,47.65,0.04516129,5,151.7875,4.6,3.4,0.15876024,6,-1.707163333,1,-0.035333536,0.092297016,1.091539528,3.5,395.85,0.035098695,44,6,0.741672086,0.755244755,0.5035,0.048866856,3.1145
6/1/85,0,-0.007020007,0.909811695,2,-0.056596409,2.31875,0.149606299,2,-0.4473,-0.6263,0.010835913,77.33333333,9.24,1,-0.045429666,0.044247788,673.3333333,1.26119403,47.45,0.122222222,6,148.215,3.7,4,0.147153791,6,-1.708831736,1,0.003191829,0.080578512,1.088072122,3.5,392.95,0.033431195,45,5,0.791093495,0.337899543,0.544,-0.068722467,3.0665
