X,usrindex,conssent1,conssent2,conssent3,cred1,cred2,cred3,cred4,indices1,indices2,indices3,indices5,indices6,indices8,housing1,housing2,housing3,manu1,manu2,manu5,manu6,macro2,macro3,macro4,equities1,equities2,equities3,equities4,emp1,emp2,emp3,emp4,emp5,emp6,emp7,yc2,yc3,yc4,yc5,yc6,yc7
1981-12-01,1.0,-0.11136158701532894,0.8095854922279793,3.0,0.027415580073554047,2.3455000000000004,0.1317073170731704,6.0,-2.3966,-2.4653,-0.010000000000000009,-59.333333333333336,85.44,1.0,-0.4306990151333173,-0.18397626112759646,398.3333333333333,1.0510752688172043,36.95000000000007,-0.21212121212121215,2.0,105.43250000000006,1.3,-2.0,-0.06600106699184516,2.0,-2.211106054556726,0.869018783419405,0.2499264922081741,0.3439024390243903,1.3521472392638036,1.5,523.0500000000001,0.004636603449162724,12.0,5.0,0.8825905819972226,-1.0204081632653084,0.17300000000000004,-7.942583732057431,2.8320000000000007
1982-01-01,1.0,-0.11498881431767316,0.8095854922279793,3.0,0.0497661990647964,2.8155,0.07262569832402277,6.0,-1.3856,-2.6754,-0.021558872305140864,-66.66666666666667,85.44,1.0,-0.3930707876370887,-0.17365269461077848,402.3333333333333,1.1145251396648046,38.00000000000007,-0.23340686559077362,1.0,105.50750000000005,1.3,-0.8000000000000007,-0.0803544149098685,2.0,-1.4784434228975782,0.8138110689639413,0.2633246902909825,0.31782477341389725,1.338036809815951,0.5,540.0000000000001,-0.00035566571822465143,10.0,6.0,0.892690316879182,-0.8216783216783214,-0.04699999999999971,-9.191919191919258,2.2620000000000013
1982-02-01,1.0,-0.10071301247771836,0.8095854922279793,3.0,0.045484080571799534,2.983,0.31724137931034546,6.0,-0.5093,0.8194,-0.01492537313432829,-68.0,85.44,2.0,-0.3462444386286313,-0.1875,396.6666666666667,1.1123919308357348,38.25000000000007,-0.23239676458067268,1.0,106.95750000000007,1.3,-1.0999999999999996,-0.07883378125254503,2.0,-0.7004876610822155,0.7686577395914264,0.2282299373932839,0.24489795918367352,1.3098159509202454,1.5,539.4500000000002,-0.0038925609242542736,14.0,6.0,0.8857467491478348,-0.8404558404558403,-0.1070000000000002,-15.740740740740915,1.607000000000001
1982-03-01,1.0,-0.11096256684491979,0.8031088082901554,3.0,0.0009439899307737143,2.828,0.5664335664335649,5.0,-1.2763,-1.5857,-0.014975041597337757,-67.33333333333333,86.06,3.0,-0.30802025046629367,-0.18292682926829273,369.0,1.294871794871795,37.55000000000007,-0.253503893214683,2.0,109.84500000000007,-2.4,-1.0999999999999996,-0.03632294715097273,2.0,-1.0431755527574391,0.7643130865783978,0.18893129770992356,0.3656441717791412,1.3564899451553931,2.5,545.1000000000001,-0.0065519915713073695,13.0,6.0,0.8952152505996718,-0.5092592592592603,-0.16199999999999992,-0.3861517976031956,1.2570000000000006
1982-04-01,1.0,-0.12058023572076149,0.8031088082901554,4.0,-0.03613341568869688,2.9130000000000003,0.3567251461988312,4.0,-1.1624,-1.6964,-0.013355592654423987,-64.66666666666667,86.06,3.0,-0.27553763440860213,-0.19756838905775076,359.3333333333333,1.2984126984126985,37.30000000000007,-0.3258064516129032,3.0,111.57250000000006,-2.4,-1.9000000000000004,-0.04471244564771515,3.0,1.0780883218401882,0.7873746529291631,0.18200620475698037,0.42961608775137106,1.4056321150389455,2.0,571.6000000000001,-0.008962053816182869,15.0,5.0,0.8756470142658754,-0.7894736842105159,-0.12200000000000077,-0.18597236981934095,1.2270000000000003
1982-05-01,1.0,-0.052938319572608195,0.8031088082901554,4.0,-0.02155309033280528,2.9055000000000004,0.09677419354838745,3.0,-1.2308,-1.0201,-0.01005025125628145,-60.0,86.06,3.0,-0.22941495124593714,-0.20615384615384613,365.6666666666667,1.3229166666666667,36.65000000000007,-0.30626622172784573,3.0,112.76250000000007,-2.4,-1.5,-0.11452314998021373,4.0,-0.12626539380692536,0.7710872392697143,0.16583789159622087,0.40383463151587784,1.3527713625866051,2.5,586.2500000000001,-0.011304449460527666,17.0,4.0,0.8655472793839162,-1.1538461538461582,-0.04200000000000159,-0.19913106444605377,1.8719999999999999
1982-06-01,1.0,0.008117706747843512,0.8031088082901554,4.0,0.012365766352098628,2.738000000000001,-0.09051724137930994,3.0,-1.5224,-1.795,-0.010101010101010166,-56.0,57.67,3.0,-0.1751509922346851,-0.20504731861198733,364.3333333333333,1.4285714285714286,36.90000000000007,-0.3058821971502727,4.0,114.54000000000006,-1.2,-1.8999999999999995,-0.10558955528355773,4.0,-1.1487374450004673,0.7883102193370708,0.11526699600094092,0.38452655889145504,1.378953421506613,3.5,591.35,-0.01438704545620395,15.0,4.0,0.9116273197828557,-27.499999999997225,-0.13200000000000145,-0.42039972432804973,1.947
1982-07-01,1.0,0.004044489383215444,0.8031088082901554,4.0,0.0012726694241169678,2.858000000000001,0.14062499999999956,4.0,-1.645,-1.2614,-0.006779661016949157,-50.0,57.67,4.0,-0.056351183063511834,-0.20192307692307687,376.3333333333333,1.3796610169491526,38.350000000000065,-0.33204707170224407,4.0,115.62000000000006,-1.2,-1.5,-0.11054817275747508,3.0,-0.3857394712793162,0.78109263898378,0.06681870011402502,0.3110983323749281,1.2845070422535212,4.5,583.3000000000001,-0.017828962953514327,17.0,4.0,0.8636535790935488,-0.4901960784313606,-0.13200000000000145,1.1652281134401954,2.5970000000000004
1982-08-01,1.0,-0.0262636273538156,0.8031088082901554,5.0,-0.044126786824114306,3.0080000000000005,0.36649214659685825,4.0,-1.479,-1.6714,-0.015151515151515138,-46.0,57.67,5.0,0.029482344874871336,-0.19805194805194803,384.0,1.2689873417721518,38.350000000000065,-0.41825396825396827,4.0,117.79250000000005,-1.2,-0.20000000000000018,0.05658208823269395,2.0,-0.7636442250910269,0.9124977858751487,0.1116774791473587,0.4185915492957746,1.330163761225568,4.5,599.6500000000001,-0.021510387463682168,16.0,4.0,0.8087362706728949,-2.41071428571428,0.05299999999999905,1.758793969849246,3.952000000000001
1982-09-01,1.0,0.003007518796992459,0.8031088082901554,5.0,-0.07576233888714234,3.2505,0.20089285714285765,3.0,-1.5186,-1.1574,-0.013513513513513598,-39.333333333333336,20.7,5.0,0.1279654924514737,-0.1875,421.0,1.2023809523809523,38.55000000000007,-0.5134920634920634,4.0,120.14500000000005,-2.6,2.0,0.07556270096463025,3.0,-0.2247537284290323,0.9121182216149194,0.18344416418252685,0.3961965134706815,1.3382278481012657,4.5,650.6500000000001,-0.02395074404599362,23.0,4.0,0.8018042646254785,-1.9811320754717001,0.18299999999999983,3.4598698481561803,4.252000000000001
